Recipe Name,Recipe ID,Preparation Time (min),nutrition,Number of Steps,Steps,Description,Products,Number of Products,Taste Rating,Shelf Time
drunken shrimp,228889,35,"[245.9, 13.0, 7.0, 38.0, 49.0, 6.0, 2.0]",11,"['combine sherry , 2 ts cornstarch and 1 / 2 ts sugar in a medium bowl', 'stir in shrimp until well coated', 'cover and refrigerate for 30 minutes', 'meanwhile combine soy sauce , water , vinegar and remaining cornstarch and sugar', 'set aside', 'heat oil in wok over high heat', 'add green onions , ginger and garlic and stir fry for 30 seconds', 'add shrimp and stir fry for 3 minutes or until pink', 'pour in soy sauce mixture', 'cook and stir until sauce thickens', 'garnish as desired']","i got this recipe from a kikkoman booklet. i haven't try it yet, but all the other recipes i've made from this booklet, turned out great. so i have high hopes.","['raw shrimp', 'dry sherry', 'cornstarch', 'sugar', 'light soy sauce', 'water', 'white vinegar', 'vegetable oil', 'green onion', 'gingerroot', 'garlic clove']",11,8,3
no fail roasted turkey,268067,330,"[1277.8, 98.0, 72.0, 512.0, 234.0, 116.0, 19.0]",31,"['prepare the brine', 'in a large , well-cleaned cooler , blend 4 gallons of water , the kosher salt , the brown sugar , the beer , and the bay leaves', 'stir until all the salt and sugar has been dissolved', 'there is no need to boil this blend', 'trim up the turkey', 'there is usually excess fat and skin around the neck and around the body cavity opening', 'just trim off this excess tissue , remove any giblets from the inside of the turkey and rinse it in cold water , inside and out', 'place the turkey in the brine and dump in the ice', 'close the cooler and allow the turkey to brine for 12-24 hours', 'check it after 12 hours to see if it needs more ice', ""if you don't have a long time before baking , even 4 hours of brining will improve the turkey"", 'after brining , remove the turkey from the cooler , , and pat it dry with paper towels , inside and out', 'blend the vegetable magic seasoning , the seasoned salt , and the mrs', 'dash seasoning and then rub the turkey all over with this blend , inside and out', 'use all the seasoning', 'place the onion and parsley inside the body cavity', 'mash chunks of butter with your hands and carefully shove it under the skin of the breast of the turkey', 'preheat the oven to 350-f -- you will roast the turkey at this temperature', 'line a roasting pan with wide aluminum foil', 'spray it with the cooking spray', 'place the turkey in the lined roasting pan , breast up , tie the legs together with some cotton string , and then cover the top loosely with another piece of aluminum foil', 'do not seal it shut', 'cover the roaster and place it in the oven', 'i use the second rack from the bottom but ovens vary -- you want the roasting pan to be near the middle', 'bake the turkey for 4 1 / 2 hours and then remove the turkey from the oven and check it with a thermometer , if you have one , by shoving the probe', 'in my experience , it is best if your turkey has an interior temperature of 185f if your turkey has been brined , this temperature will yield a juicy and tender turkey and all the meat is done nicely at this point', 'if your thermometer registers anything less than 185f , or if you don\'t have a thermometer , bake the turkey , , for one more hour , increasing the oven temperature to 375f if it\'s 185f or better at the end of the 4 1 / 2 hours , allow the turkey to ""rest"" , uncovered for at least 30 minutes prior to carving', 'if you have returned your turkey to the oven for a final hour , then remove it from the oven at the end of that time and allow it to ""rest"" for at least 30 minutes prior to carving', 'my turkeys usually end up somewhere around 190f when they come out of the oven and mine always take the full 5 1 / 2 hours', 'if the wings are so tender that they fall off , i just stick them inside the body cavity to keep them from drying out any during supper', 'enjoy your perfect turkey']","in-laws coming over for thanksgiving where you have to roast the turkey for the first time? nervous and jittery are you? not to worry! just follow these detailed instructions and you'll fly by! the only thing is, your mother-in-law might get jealous because you produced a much better turkey than she ever did. *.* this is an equally good and easy recipe for veteran cooks too -- delicious, tender, very juicy, and super eye appeal. it took me several years to hone the details of this recipe but, now, i'm pleased with the final result and i think i'll stay with this one for awhile. cooking time does not include the brining process so give yourself 12-24 hours for this if you can, although you can skip the brining if you're pressed for time. i hope you enjoy it as much as we do! and serve your bird with  recipe #146456","['whole turkey', 'water', 'kosher salt', 'dark brown sugar', 'beer', 'dried bay leaves', 'salted butter', 'vegetable magic seasoning', 'seasoning salt', 'mrs. dash seasoning mix', 'cooking spray', 'ice', 'onion', 'fresh parsley']",14,9,11
grilled tuna with lemon anchovy butter,195614,23,"[461.2, 40.0, 0.0, 8.0, 106.0, 53.0, 0.0]",7,"['light the grill or heat the broiler', 'in a small bowl , combine the butter , anchovy paste , lemon juice , parsley , and a pinch each of salt and pepper', 'coat the tuna with the oil', 'sprinkle with 1 / 2 teaspoon salt and 1 / 4 teaspoon pepper', 'cook the tuna for 4 minutes', 'turn and cook until done to your taste , 3 to 4 minutes longer for medium rare', 'top the hot fish with the flavored butter']","i love fresh tuna, so am always finding different ways of cooking it up.  the sauce goes really well with the fish.  i serve it up with a rice pilaf and steamed veggies","['butter', 'anchovy paste', 'lemon juice', 'fresh parsley', 'salt', 'fresh ground black pepper', 'tuna steaks', 'cooking oil']",8,3,19
best sloppy joes ever,272743,25,"[280.6, 20.0, 41.0, 23.0, 48.0, 24.0, 4.0]",4,"['combine all ingredients , except meat , in a saucepan', 'simmer uncovered for 10 minutes', 'brown and drain hamburger', 'add sauce mixture and simmer for at least 10 minutes more']","i've gotten rave reviews on this sloppy joe recipe! it is a great recipe to double or even quadruple, for big crowds. can also be made with turkey burger.","['mustard', 'vinegar', 'brown sugar', 'chili sauce', 'marjoram', 'worcestershire sauce', 'water', 'hamburger']",8,4,2
chocolate   coffee   cream,288854,5,"[465.0, 40.0, 161.0, 3.0, 14.0, 79.0, 17.0]",3,"['pour the milk , cream and sugar into the blender and mix until blended', 'next add the cocoa , instant coffee granulas , liquer and the ice cubes processing until smooth', 'pour into glasses , top with the whipped cream and sprinkle with cocoa powder , now its ready to serve']","this is a nice, dark mocha cream. it's cold and refreshing on a hot summer day. just perfect, for sitting by the pool or out on a dock, sipping while reading a book.  it'll give you a little lift.","['milk chocolate', 'half-and-half cream', 'dark brown sugar', 'cocoa', 'instant coffee', 'coffee liqueur', 'ice cubes', 'coffee ice cubes', 'whipped cream', 'cocoa powder']",10,10,5
prosciutto sage mashed potatoes,148803,20,"[337.7, 23.0, 8.0, 16.0, 20.0, 47.0, 13.0]",9,"['bring large pot of water to boil , add 1 / 4 tsp salt', 'cook potatoes and garlic until potatoes are very tender , about 15 minutes', 'drain and mash potatoes and', 'return to same pot', 'meanwhile , melt butter in heavy small saucepan over medium heat', 'add chopped prosciutto and sage and saut until fragrant , about 2 minutes', 'add prosciutto mixture and broth to potatoes and garlic', 'mix in cheese', 'season with salt and pepper']","extremely flavorful mashed potatoes.  goes well with rosemary or garlic seasoned roast turkey.

(can be prepared 6 hours ahead. cover and chill. stir over low heat to rewarm, adding more broth by tablespoonfuls, if desired.)","['russet potatoes', 'garlic', 'butter', 'prosciutto', 'fresh sage', 'chicken broth', 'fresh parmesan cheese']",7,5,17
zesty polynesian scallops,370078,25,"[372.0, 36.0, 17.0, 9.0, 49.0, 46.0, 5.0]",8,"['broil the scallops for 4 minutes , then turn and broil 2 more minutes', 'in a large saucepan , saut the chopped onion in the olive oil until tender', 'add the sliced mushrooms , bell pepper strips , and chopped tomato', 'cook until all the vegetables are heated through', 'arranged the sauted vegetables on a platter', 'top with the broiled scallops', 'layer the avacado slices on top of the scallops , then spread mango salsa over the the avacado slices', 'top with sour cream , and garnish with green onion slices']","this polynesian dish is reminscent of the uniquely tropical cuisines of hawaii and new zealand.  it's a very easy dish to prepare, and it makes a very elegant dinner, especially paired with a dry white wine or a tropical orange-mango blend fruit juice.  but remember to always take care not to overcook scallops or they will become tough. as soon as they lose their translucence and turn opaque, they are done.","['sea scallops', 'olive oil', 'red onion', 'button mushrooms', 'bell pepper', 'tomatoes', 'avocado', 'mango salsa', 'sour cream', 'green onions']",10,9,29
banana squash soup,440156,75,"[50.2, 6.0, 2.0, 0.0, 0.0, 12.0, 1.0]",8,"['in a large baking dish bake the banana squash , cut sides down , in the middle of a preheated 375 p', 'oven for 30-45 minutes , or until it is tender when pierced', 'discard the seeds and scoop out the flesh with a spoon', 'in a kettle cook the onion in the butter over moderately low heat , stirring , until it is softened , add the flour , and cook the roux , stirring , for 3 minutes', 'add the broth , the squash , and the vermouth and simmer the mixture , covered , stirring , for 20 minutes', 'pure the soup with a hand blender or in batches in a food processor , return it to the kettle , and add the ginger and the nutmeg', 'bring the soup to a boil , simmer it , stirring occasionally , for 10 minutes , and add salt and pepper to taste', 'enjoy !']","found this recipe online and enjoyed it so thought i would share:)  it is a delicate soup, with well balanced flavors.  i hope you enjoy it as much as i do.","['banana squash', 'onion', 'unsalted butter', 'all-purpose flour', 'vegetable broth', 'dry vermouth', 'ginger', 'nutmeg']",8,5,4
raspberry peach muffins,287522,40,"[166.0, 9.0, 58.0, 5.0, 5.0, 17.0, 8.0]",7,"['in bowl cream together sugar and butter until fluffy', 'add in eggs one at a time and mix well after each', 'blend in vanilla , baking powder , and salt', 'fold in 1 cup of the flour and then 1 / 4 cup of the half and half', 'repeat using the rest of the flour and half and half', ""toss the fruit in a bit of flour to coat them so they don't sink to bottom of batter and fold in gently"", 'spoon into greased muffin cups and bake at 375f 20-30 minutes']",just another muffin creation for the muffin and cupcake love event.  i hope you enjoy these fruity muffins!,"['butter', 'sugar', 'eggs', 'vanilla', 'baking powder', 'salt', 'peach syrup', 'flour', 'fat-free half-and-half', 'fresh raspberry', 'peach halves in syrup']",11,3,4
tropical party punch,72240,10,"[118.9, 0.0, 114.0, 0.0, 0.0, 0.0, 10.0]",7,"['in a large saucepan , bring the water and sugar to a light boil', 'cook and stir for 2 mins', 'pour into a large container', 'add pineapple juice , concentrates and extract', 'cover and freeze', 'remove from freezer 1-2 hours before serving', 'just before serving , mash the mixture with a potato masher and stir in lemon-lime soda']","here is a super punch to serve at holidays or for any get together that you have...the taste is so yummy, you will make this time and time again, of course..... you can add a little something to this recipe to give it a lift if you so desire.","['water', 'sugar', 'pineapple juice', 'frozen orange juice concentrate', 'frozen lemonade concentrate', 'almond extract', 'carbonated lemon-lime beverage']",7,5,20
pamela s peanut butter cookies   gluten free,343839,30,"[124.1, 12.0, 44.0, 2.0, 3.0, 17.0, 4.0]",7,"['cream together the butter and peanut butter', ""mix in sugar , egg and vanilla , then add pamela's baking & pancake mix and combine"", 'spoon tablespoons of dough onto a lightly greased cookie sheet and flatten with a fork using a crisscross pattern', 'for smaller cookies , reduce bake time', 'bake in a preheated 325 oven for 17-20 minutes', 'edges should be light brown', 'cool completely before removing from pan with spatula']",another recipe using pamela's baking & pancake mix.,"['butter', 'crunchy peanut butter', 'brown sugar', 'egg', 'vanilla extract', 'pamelas ultimate baking and pancake mix']",6,7,2
individual chocolate truffle cakes,263818,170,"[434.0, 52.0, 81.0, 1.0, 14.0, 102.0, 10.0]",22,"['truffles: combine the chocolate , cream , and butter in a small heatproof bowl , set over simmering water , and let melt', 'when almost melted , remove from the heat and stir the mixture until smooth', 'stir in flavoring of your choice and refrigerate until thick enough to mound on a spoon , stirring occasionally , about 30 minutes', 'line a baking tray with waxed or parchment paper', 'scrape the chocolate mixture into pastry bag fitted with a #3 plain', 'pipe eight 1-inch mounds onto the prepared tray', 'place 1 raspberry in center of each chocolate mound and pipe a little more of the chocolate mixture to enclose completely', 'refrigerate until firm , about 15 minutes', 'cake: position a rack in the center of oven and preheat oven to 350 degrees', 'spray 8 oversize muffin cups with cooking spray', 'line bottoms with rounds of waxed paper', 'set aside', 'in the top of a double boiler or a small heatproof bowl set over simmering water , melt together the chocolate and butter', 'cool slightly', 'meanwhile , in the large bowl beat on high speed , eggs , egg yolks , and sugar until tripled in volume , about 5 minutes', 'on low speed , add in the chocolate mixture just until combined', 'remove the bowl and fold in the flour , using a rubber spatula', 'spoon a little of the batter into each of the prepared cups top with 1 truffle , and cover with the remaining batter', 'arrange cups on a baking tray and bake 15 minutes or until edges of the cakes begin to pull away from the sides of the cups', 'let stand 10 minutes', 'invert onto individual dessert plates and carefully peel off paper', 'serve warm with whipped cream or ice cream next to each cake and a few fresh raspberries']",these are elegant and sinful cakes best enjoyed with company.,"['semisweet chocolate morsels', 'heavy cream', 'unsalted butter', 'amaretto', 'fresh raspberries', 'bittersweet chocolate chips', 'eggs', 'egg yolks', 'sugar', 'all-purpose flour', 'whipped cream', 'ice cream']",12,7,27
